en,zh
"Areas of concentration: Defense & Strategic Studies, International Negotiations, Foreign Policy Analysis Dissertation: ""Negotiation From Weakness: Concept, Model and Application to Strategic Negotiations""",集中注意力：国防与战略研究，国际谈判，外交政策分析论文：“弱点的谈判：概念，模型和战略谈判的应用”
M.A. with Distinction. Concentration in International Organization & Negotiation and Strategic Planning.,M.A.有区别。专注于国际组织与谈判与战略计划。
Major: International Security Affairs Language: German,专业：国际安全事务语言：德语
"成绩: Masters in Passing, 3.89 GPA",成绩：传球大师，3.89 GPA
成绩: 3.94 GPA,成绩：3.94 GPA
活动与社团: Harvard Independent,活动与：哈佛独立
"活动与社团: Georgetown Law Journal, Notes and Comments Editor",活动与：乔治敦法律杂志，注释和评论编辑
活动与社团: James Bowdoin Scholar,活动与：詹姆斯·鲍登学者
成绩: cum laude,成绩：暨优异
• Degree in International Relations from Jackson Institute for Global Affairs. • University Fellowship recipient (full tuition scholarship) and Graduate Teaching Fellow.,•杰克逊全球事务研究所的国际关系学位。•大学奖学金获得者（全额学费奖学金）和研究生教学研究员。
Technology and Security Concentration Asian Studies Graduate Certificate,技术和安全集中亚洲研究研究生证书
9 months of intensive Mandarin Chinese language training,9个月的密集普通话培训
"Undergraduate dual degrees: BA/BS in Chemistry and Music from Case Western Reserve University, Cleveland, Ohio USA.",本科双学位：美国俄亥俄州克利夫兰的Case Western Reserve University的化学和音乐学士学位。
活动与社团: Army Crew Team,活动与：陆军船员团队
"活动与社团: War College Fellows program, Kennedy School Rowing Club, ISP, Belfer Center",活动与：战争学院研究员计划，肯尼迪学校划船俱乐部，ISP，贝尔弗中心
Magna cum laude,麦格纳（Magna）暨优异
Parker School Certificate of International Law (Honors) Charles Evans Hughes Prize,帕克学校国际法证书（荣誉）查尔斯·埃文斯·休斯奖
成绩: male,成绩：男性
"活动与社团: Alpha Epsilon Phi - Treasurer 2004, Alpha Epsilon Phi Spring Philanthropy Chair 2005, Alpha Epsilon Phi sorority 2003-2005, Parliamentary debate, President of MIT partisan political group 2002-2005, MIT Students for Israel",活动与：Alpha Epsilon Phi- 2004年，Alpha Epsilon Phi Spring慈善主席，2005年，Alpha Epsilon Phi Sorority 2003-2005，议会辩论，MIT Partisan Partisan Partiesan Partian Group的总裁2002-2005，以色列MIT学生MIT学生MIT学生
活动与社团: AIAA,活动与：aiaa
Master's with Thesis. 4.0 GPA,主人的论文。4.0 GPA
"活动与社团: Tau Beta Pi, Phi Beta Kappa, Blue Key",活动与：tau beta pi，phi beta kappa，蓝色钥匙
Thesis: Experimental Investigation of Advanced Digital Tape Medium Noise Advisor: Jian-Gang Zhu,论文：高级数字磁带中等噪声顾问的实验研究：Jian-Gang Zhu
"The Eisenhower School (formerly known as the Industrial College of the Armed Forces (ICAF)) prepares selected military and civilians for strategic leadership and success in developing national security strategy and in evaluating, marshalling, and managing resources in the execution of that strategy.",艾森豪威尔学校（以前被称为武装部队工业学院（ICAF））为选定的军事和平民准备战略领导和成功，以制定国家安全战略以及评估，编组和管理该战略的资源。
"活动与社团: American Society of Mechanical Engineers (ASME), National Society of Black Engineers (NSBE), Institute of Electrical and Electronics Engineers (IEEE)",活动与：美国机械工程师学会（ASME），国家黑人工程师学会（NSBE），电气与电子工程师研究所（IEEE）
"活动与社团: Society of Tribology and Lubrication Engineers (STLE), Society of Manufacturing Engineering (SME)",活动与：摩擦学和润滑工程师协会（Stle），制造工程学会（SME）
"活动与社团: ASME, BME",活动与：ASME，BME
活动与社团: AIAA,活动与：aiaa
活动与社团: AIAA,活动与：aiaa
"活动与社团: AIAA, Sigma Gamma Tau Aerospace Honor Society, Phi Kappa Phi Honor Society",活动与：AIAA，Sigma Gamma Tau Aerospace Honor Society，Phi Kappa Phi荣誉学会
"Predictive Analytics, Exploratory Data Analysis, Feature Engineering, Market Basket Analysis, Predictive ML Models using Python and R languages",预测分析，探索性数据分析，功能工程，市场篮分析，使用Python和R语言的预测ML模型
Supply Chain Management Speciality,供应链管理专业
Studies focused on high temperature materials used in aerospace propulsion and entry systems.,研究重点是航空推进和进入系统中使用的高温材料。
"Studies focused on material failure mechanisms, models and prediction methods.",研究重点是物质故障机制，模型和预测方法。
Focused studies in steel and contcrete structural design and analysis methods.,钢和续核结构设计和分析方法的重点研究。
"活动与社团: Alpha Epsilon Phi - Treasurer 2004, Alpha Epsilon Phi Spring Philanthropy Chair 2005, Alpha Epsilon Phi sorority 2003-2005, Parliamentary debate, President of MIT partisan political group 2002-2005, MIT Students for Israel",活动与：Alpha Epsilon Phi- 2004年，Alpha Epsilon Phi Spring慈善主席，2005年，Alpha Epsilon Phi Sorority 2003-2005，议会辩论，MIT Partisan Partisan Partiesan Partian Group的总裁2002-2005，以色列MIT学生MIT学生MIT学生
活动与社团: AIAA,活动与：aiaa
Master's with Thesis. 4.0 GPA,主人的论文。4.0 GPA
